,date,home_team,proof
0,3/16/2024,HOU,
1,11/17/2023,TOR,
2,11/16/2016,TOR,
3,05/30/2019,TOR,
4,12/27/2022,TOR,
5,11/02/2024,TOR,
6,02/03/2022,TOR,
7,03/18/2022,TOR,
8,05/01/2018,TOR,
9,06/02/2019,TOR,
10,12/07/2022,TOR,
11,4/29/2019,TOR,
12,12/21/2015,LAC,
13,02/01/2022,TOR,
14,12/01/2017,TOR,
15,06/13/2016,GSW,
16,05/23/2016,TOR,
17,04/09/2014,LAC,
18,5/25/2019,TOR,
19,05/21/2019,TOR,
20,02/21/2020,TOR,
21,06/10/2019,TOR,
22,05/05/2017,TOR,
23,05/27/2016,TOR,
24,12/23/2015,LAL,
25,11/25/2015,TOR,
26,04/04/2014,TOR,
27,02/25/2020,TOR,
28,11/23/2018,TOR,
29,4/14/2018,TOR,
30,11/04/2016,LAL,
31,11/03/2016,GSW,
33,03/04/2016,TOR,
34,11/30/2014,LAL,
35,1/14/2022,MIA,
36,11/06/2022,TOR,
37,1/12/2023,TOR,
38,11/23/2022,TOR,
39,10/11/2021,TOR,
40,11/29/2023,TOR,
41,4/20/2022,TOR,
42,04/07/2022,TOR,
43,04/08/2022,TOR,
44,05/19/2021,LAL,
45,01/25/2016,GSW,
46,05/22/2011,MIA,
47,10/28/2009,TOR,
48,10/20/2021,TOR,
49,03/23/2022,TOR,
50,04/17/2018,TOR,
51,05/07/2019,TOR,
52,05/01/2016,TOR,
53,12/05/2024,TOR,
54,05/19/2019,TOR,
55,04/23/2019,TOR,
56,03/09/2018,TOR,
57,11/25/2019,TOR,
58,12/05/2015,TOR,
59,11/20/2015,LAL,
60,12/21/2014,TOR,
61,04/06/2018,TOR,
63,05/03/2011,MIA,
64,04/04/2018,TOR,
65,1/13/2018,TOR,
66,05/07/2017,TOR,
67,04/16/2016,TOR,
68,05/02/2014,BKN,
69,04/14/2013,NYK,
70,12/11/2019,TOR,
71,05/03/2018,TOR,
72,01/19/2018,MEM,
73,10/21/2017,TOR,
74,03/06/2016,TOR,
75,04/22/2014,TOR,
76,04/19/2014,TOR,
77,04/24/2015,WAS,
78,10/29/2014,TOR,
79,10/09/2022,TOR,
80,12/01/2021,OKC,
81,06/03/2021,LAL,
82,04/27/2019,TOR,
83,04/25/2018,TOR,
84,11/29/2017,TOR,
85,04/26/2016,TOR,
86,03/28/2016,TOR,
87,03/12/2016,TOR,
88,03/08/2016,TOR,
89,12/25/2015,GSW,
90,12/15/2015,SAC,
91,05/04/2014,TOR,
92,04/21/2015,TOR,
93,02/11/2015,TOR,
94,01/11/2014,TOR,
95,12/17/2014,TOR,
96,06/20/2013,MIA,
97,01/02/2013,MIA,
98,10/31/2021,LAL,
99,12/05/2019,TOR,
100,05/24/2011,MIA,
101,04/10/2011,MIA,
102,11/25/2018,TOR,
103,12/01/2010,TOR,
104,11/29/2018,TOR,
105,11/11/2010,MIA,
106,11/22/2009,LAL,
107,01/17/2018,TOR,
108,01/11/2018,TOR,
109,04/08/2017,GSW,
111,01/30/2016,TOR,
114,04/30/2014,TOR,
116,03/31/2015,LAC,
117,02/07/2014,LAC,
118,01/22/2014,TOR,
119,12/15/2014,TOR,
121,10/23/2013,TOR,
122,03/09/2012,SAC,
123,12/17/2010,NYK,
124,06/05/2019,GSW,
125,05/01/2011,MIA,
126,11/09/2014,TOR,
127,11/07/2015,LAC,
128,01/27/2024,NYK,
129,11/09/2015,SAC,
